Generations,Iteration 1,Iteration 2,Iteration 3,Iteration 4,Iteration 5,Best Fitness Score
Gen 106,49305.545667625884,45730.531640957015,46508.88940885993,50050.84101933803,47052.812684076234,45730.531640957015
Gen 107,49305.545667625884,45730.531640957015,46508.88940885993,50050.84101933803,47052.812684076234,45730.531640957015
Gen 108,49305.545667625884,45730.531640957015,46372.24943326118,50050.84101933803,47052.812684076234,45730.531640957015
Gen 109,49305.545667625884,45022.483625964625,46372.24943326118,50050.84101933803,47052.812684076234,45022.483625964625
Gen 110,49305.545667625884,44716.87306134345,46372.24943326118,50050.84101933803,47052.812684076234,44716.87306134345
Gen 111,49305.545667625884,44716.87306134345,46372.24943326118,50050.84101933803,47052.812684076234,44716.87306134345
Gen 112,49305.545667625884,44469.80015593308,45922.29551444565,50050.84101933803,47052.812684076234,44469.80015593308
Gen 113,49305.545667625884,44469.80015593308,45922.29551444565,50050.84101933803,47052.812684076234,44469.80015593308
Gen 114,49305.545667625884,43507.37671548912,45922.29551444565,50050.84101933803,47052.812684076234,43507.37671548912
Gen 115,49305.545667625884,43507.37671548912,45922.29551444565,50050.84101933803,47052.812684076234,43507.37671548912
Gen 116,49305.545667625884,43507.37671548912,45922.29551444565,49357.754374191514,47052.812684076234,43507.37671548912
Gen 117,49305.545667625884,43507.37671548912,45922.29551444565,49357.754374191514,47052.812684076234,43507.37671548912
Gen 118,49305.545667625884,43507.37671548912,45912.00239221896,49314.06289160478,47052.812684076234,43507.37671548912
Gen 119,49305.545667625884,43507.37671548912,45713.018986261544,49314.06289160478,47052.812684076234,43507.37671548912
Gen 120,49305.545667625884,43507.37671548912,45713.018986261544,49314.06289160478,47052.812684076234,43507.37671548912
Gen 121,49305.545667625884,43507.37671548912,45713.018986261544,49314.06289160478,47052.812684076234,43507.37671548912
Gen 122,49305.545667625884,43507.37671548912,45713.018986261544,49314.06289160478,47052.812684076234,43507.37671548912
Gen 123,49305.545667625884,43507.37671548912,45713.018986261544,49314.06289160478,47052.812684076234,43507.37671548912
Gen 124,49305.545667625884,43507.37671548912,45713.018986261544,49314.06289160478,47052.812684076234,43507.37671548912
Gen 125,48064.03824158211,43507.37671548912,45713.018986261544,49092.91339016919,47052.812684076234,43507.37671548912
Gen 126,48064.03824158211,43507.37671548912,45713.018986261544,48492.738220150735,47052.812684076234,43507.37671548912
Gen 127,48064.03824158211,43507.37671548912,45713.018986261544,48492.738220150735,46823.44912067154,43507.37671548912
Gen 128,48064.03824158211,43507.37671548912,45713.018986261544,48492.738220150735,46823.44912067154,43507.37671548912
Gen 129,48064.03824158211,43507.37671548912,45111.88599253531,48371.497875092,46638.549224400915,43507.37671548912
Gen 130,48064.03824158211,43507.37671548912,45111.88599253531,48371.497875092,46212.371634714116,43507.37671548912
Gen 131,48064.03824158211,43507.37671548912,45111.88599253531,48054.332708291186,45739.329169531906,43507.37671548912
Gen 132,48064.03824158211,43507.37671548912,45111.88599253531,48054.332708291186,45739.329169531906,43507.37671548912
Gen 133,48064.03824158211,43507.37671548912,44873.89897865234,48054.332708291186,45739.329169531906,43507.37671548912
Gen 134,48064.03824158211,43507.37671548912,44873.89897865234,48054.332708291186,45739.329169531906,43507.37671548912
Gen 135,48064.03824158211,43507.37671548912,44873.89897865234,48054.332708291186,45739.329169531906,43507.37671548912
Gen 136,48064.03824158211,43507.37671548912,44873.89897865234,47736.38312733043,45739.329169531906,43507.37671548912
Gen 137,48064.03824158211,43507.37671548912,44815.68788403303,47736.38312733043,45739.329169531906,43507.37671548912
Gen 138,48064.03824158211,43507.37671548912,44815.68788403303,47736.38312733043,45739.329169531906,43507.37671548912
Gen 139,48064.03824158211,43441.132965867975,44815.68788403303,47453.55867295548,45739.329169531906,43441.132965867975
Gen 140,48064.03824158211,43441.132965867975,44815.68788403303,47075.821246082975,45739.329169531906,43441.132965867975
Gen 141,48064.03824158211,43441.132965867975,44815.68788403303,47075.821246082975,45739.329169531906,43441.132965867975
Gen 142,48064.03824158211,43441.132965867975,44815.68788403303,46284.24393056129,45739.329169531906,43441.132965867975
Gen 143,48064.03824158211,43441.132965867975,44815.68788403303,46284.24393056129,45739.329169531906,43441.132965867975
Gen 144,47537.04535881703,43441.132965867975,44815.68788403303,46284.24393056129,45739.329169531906,43441.132965867975
Gen 145,47537.04535881703,43441.132965867975,44815.68788403303,46284.24393056129,45739.329169531906,43441.132965867975
Gen 146,47537.04535881703,43441.132965867975,44815.68788403303,46284.24393056129,45739.329169531906,43441.132965867975
Gen 147,47537.04535881703,43441.132965867975,44283.1592941602,46284.24393056129,45739.329169531906,43441.132965867975
Gen 148,47537.04535881703,43331.9061257985,44283.1592941602,46284.24393056129,45739.329169531906,43331.9061257985
Gen 149,47318.185111280196,43331.9061257985,44283.1592941602,46284.24393056129,45739.329169531906,43331.9061257985
Gen 150,47318.185111280196,42834.74577218822,44283.1592941602,46284.24393056129,45617.71203603569,42834.74577218822
Gen 151,47318.185111280196,42834.74577218822,44283.1592941602,46284.24393056129,45617.71203603569,42834.74577218822
Gen 152,46420.2247855118,42834.74577218822,44283.1592941602,46284.24393056129,45408.99447207535,42834.74577218822
Gen 153,46420.2247855118,42834.74577218822,44208.70479876477,46284.24393056129,45408.99447207535,42834.74577218822
Gen 154,46420.2247855118,42834.74577218822,44208.70479876477,45996.68510042047,45408.99447207535,42834.74577218822
Gen 155,46420.2247855118,42590.10209420338,44208.70479876477,45996.68510042047,45408.99447207535,42590.10209420338
Gen 156,46420.2247855118,42590.10209420338,44208.70479876477,45996.68510042047,45381.829757225925,42590.10209420338
Gen 157,46420.2247855118,42590.10209420338,44208.70479876477,45996.68510042047,45381.829757225925,42590.10209420338
Gen 158,46420.2247855118,42525.97020960615,44208.70479876477,45996.68510042047,45381.829757225925,42525.97020960615
Gen 159,46240.91026451389,42525.97020960615,43921.72912215767,45573.17724669069,45381.829757225925,42525.97020960615
Gen 160,46240.91026451389,42525.97020960615,43921.72912215767,45573.17724669069,45381.829757225925,42525.97020960615
Gen 161,46240.91026451389,42525.97020960615,43921.72912215767,45573.17724669069,45381.829757225925,42525.97020960615
Gen 162,46240.91026451389,42525.97020960615,43921.72912215767,45573.17724669069,45381.829757225925,42525.97020960615
Gen 163,46240.91026451389,42525.97020960615,43921.72912215767,45420.85831622664,44808.489374349665,42525.97020960615
Gen 164,46240.91026451389,42525.97020960615,43921.72912215767,45420.85831622664,44808.489374349665,42525.97020960615
Gen 165,46240.91026451389,42317.63239423842,43921.72912215767,45420.85831622664,44808.489374349665,42317.63239423842
Gen 166,46240.91026451389,42317.63239423842,43921.72912215767,45420.85831622664,44808.489374349665,42317.63239423842
Gen 167,46240.91026451389,42317.63239423842,43921.72912215767,45420.85831622664,44808.489374349665,42317.63239423842
Gen 168,46240.91026451389,41969.25486355706,43921.72912215767,45420.85831622664,44808.489374349665,41969.25486355706
Gen 169,46240.91026451389,41969.25486355706,43668.84550565084,44955.98449697957,44808.489374349665,41969.25486355706
Gen 170,46240.91026451389,41969.25486355706,43668.84550565084,44955.98449697957,44808.489374349665,41969.25486355706
Gen 171,46240.91026451389,41969.25486355706,43112.283320552975,44955.98449697957,44508.39384276154,41969.25486355706
Gen 172,46240.91026451389,41969.25486355706,43112.283320552975,44955.98449697957,44508.39384276154,41969.25486355706
Gen 173,46240.91026451389,41969.25486355706,43112.283320552975,44955.98449697957,44318.56419393527,41969.25486355706
Gen 174,46240.91026451389,41969.25486355706,43112.283320552975,44955.98449697957,44318.56419393527,41969.25486355706
Gen 175,46240.91026451389,41969.25486355706,43112.283320552975,44955.98449697957,44318.56419393527,41969.25486355706
Gen 176,46240.91026451389,41969.25486355706,43112.283320552975,44901.67094904829,44318.56419393527,41969.25486355706
Gen 177,46240.91026451389,41969.25486355706,43112.283320552975,44901.67094904829,44318.56419393527,41969.25486355706
Gen 178,46240.91026451389,41969.25486355706,42844.06500828598,44901.67094904829,44318.56419393527,41969.25486355706
Gen 179,46240.91026451389,41969.25486355706,42844.06500828598,44901.67094904829,44318.56419393527,41969.25486355706
